exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp1400,10,8,enp7s0np0,10,5100,8,0.05G,8
exp1401,10,8,enp7s0np0,10,5100,8,0.15G,8
exp1402,10,8,enp7s0np0,10,5100,8,0.2G,8
exp1403,10,8,enp7s0np0,10,5100,8,0.25G,8
exp1404,10,8,enp7s0np0,10,5100,8,0.3G,8
exp1405,10,8,enp7s0np0,10,5100,8,0.35G,8
exp1406,10,8,enp7s0np0,10,5100,8,0.4G,8
exp1407,10,8,enp7s0np0,10,5100,8,0.45G,8
exp1408,10,8,enp7s0np0,10,5100,8,0.05G,8
exp1409,10,8,enp7s0np0,10,5100,8,0.15G,8
exp1410,10,8,enp7s0np0,10,5100,8,0.2G,8
exp1411,10,8,enp7s0np0,10,5100,8,0.25G,8
exp1412,10,8,enp7s0np0,10,5100,8,0.3G,8
exp1413,10,8,enp7s0np0,10,5100,8,0.35G,8
exp1414,10,8,enp7s0np0,10,5100,8,0.4G,8
exp1415,10,8,enp7s0np0,10,5100,8,0.45G,8
exp1416,10,8,enp7s0np0,10,5100,8,0.05G,8
exp1417,10,8,enp7s0np0,10,5100,8,0.15G,8
exp1418,10,8,enp7s0np0,10,5100,8,0.2G,8
exp1419,10,8,enp7s0np0,10,5100,8,0.25G,8
exp1420,10,8,enp7s0np0,10,5100,8,0.3G,8
exp1421,10,8,enp7s0np0,10,5100,8,0.35G,8
exp1422,10,8,enp7s0np0,10,5100,8,0.4G,8
exp1423,10,8,enp7s0np0,10,5100,8,0.45G,8
