exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp2600,10,1,enp7s0np0,10,5100,1,1.6G,1
exp2601,10,1,enp7s0np0,10,5100,1,1.6G,2
exp2602,10,1,enp7s0np0,10,5100,1,1.6G,4
exp2603,10,1,enp7s0np0,10,5100,1,1.6G,8
exp2604,10,1,enp7s0np0,10,5100,1,1.6G,12
exp2605,10,1,enp7s0np0,10,5100,1,1.6G,16
exp2606,10,1,enp7s0np0,10,5100,1,1.6G,20
exp2607,10,1,enp7s0np0,10,5100,1,1.6G,1
exp2608,10,1,enp7s0np0,10,5100,1,1.6G,2
exp2609,10,1,enp7s0np0,10,5100,1,1.6G,4
exp2610,10,1,enp7s0np0,10,5100,1,1.6G,8
exp2611,10,1,enp7s0np0,10,5100,1,1.6G,12
exp2612,10,1,enp7s0np0,10,5100,1,1.6G,16
exp2613,10,1,enp7s0np0,10,5100,1,1.6G,20
exp2614,10,1,enp7s0np0,10,5100,1,1.6G,1
exp2615,10,1,enp7s0np0,10,5100,1,1.6G,2
exp2616,10,1,enp7s0np0,10,5100,1,1.6G,4
exp2617,10,1,enp7s0np0,10,5100,1,1.6G,8
exp2618,10,1,enp7s0np0,10,5100,1,1.6G,12
exp2619,10,1,enp7s0np0,10,5100,1,1.6G,16
exp2620,10,1,enp7s0np0,10,5100,1,1.6G,20
