exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp2200,10,8,enp7s0np0,10,5100,8,0.4G,1
exp2201,10,8,enp7s0np0,10,5100,8,0.4G,2
exp2202,10,8,enp7s0np0,10,5100,8,0.4G,4
exp2203,10,8,enp7s0np0,10,5100,8,0.4G,8
exp2204,10,8,enp7s0np0,10,5100,8,0.4G,12
exp2205,10,8,enp7s0np0,10,5100,8,0.4G,16
exp2206,10,8,enp7s0np0,10,5100,8,0.4G,20
exp2207,10,8,enp7s0np0,10,5100,8,0.4G,1
exp2208,10,8,enp7s0np0,10,5100,8,0.4G,2
exp2209,10,8,enp7s0np0,10,5100,8,0.4G,4
exp2210,10,8,enp7s0np0,10,5100,8,0.4G,8
exp2211,10,8,enp7s0np0,10,5100,8,0.4G,12
exp2212,10,8,enp7s0np0,10,5100,8,0.4G,16
exp2213,10,8,enp7s0np0,10,5100,8,0.4G,20
exp2214,10,8,enp7s0np0,10,5100,8,0.4G,1
exp2215,10,8,enp7s0np0,10,5100,8,0.4G,2
exp2216,10,8,enp7s0np0,10,5100,8,0.4G,4
exp2217,10,8,enp7s0np0,10,5100,8,0.4G,8
exp2218,10,8,enp7s0np0,10,5100,8,0.4G,12
exp2219,10,8,enp7s0np0,10,5100,8,0.4G,16
exp2220,10,8,enp7s0np0,10,5100,8,0.4G,20
