exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp2500,10,8,enp7s0np0,10,5100,8,0.3G,1
exp2501,10,8,enp7s0np0,10,5100,8,0.3G,2
exp2502,10,8,enp7s0np0,10,5100,8,0.3G,4
exp2503,10,8,enp7s0np0,10,5100,8,0.3G,8
exp2504,10,8,enp7s0np0,10,5100,8,0.3G,12
exp2505,10,8,enp7s0np0,10,5100,8,0.3G,16
exp2506,10,8,enp7s0np0,10,5100,8,0.3G,20
exp2507,10,8,enp7s0np0,10,5100,8,0.3G,1
exp2508,10,8,enp7s0np0,10,5100,8,0.3G,2
exp2509,10,8,enp7s0np0,10,5100,8,0.3G,4
exp2510,10,8,enp7s0np0,10,5100,8,0.3G,8
exp2511,10,8,enp7s0np0,10,5100,8,0.3G,12
exp2512,10,8,enp7s0np0,10,5100,8,0.3G,16
exp2513,10,8,enp7s0np0,10,5100,8,0.3G,20
exp2514,10,8,enp7s0np0,10,5100,8,0.3G,1
exp2515,10,8,enp7s0np0,10,5100,8,0.3G,2
exp2516,10,8,enp7s0np0,10,5100,8,0.3G,4
exp2517,10,8,enp7s0np0,10,5100,8,0.3G,8
exp2518,10,8,enp7s0np0,10,5100,8,0.3G,12
exp2519,10,8,enp7s0np0,10,5100,8,0.3G,16
exp2520,10,8,enp7s0np0,10,5100,8,0.3G,20
