exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp100,10,1,enp7s0np0,10,5100,1,0.1G,1
exp101,10,3,enp7s0np0,10,5100,3,0.1G,1
exp102,10,5,enp7s0np0,10,5100,5,0.1G,1
exp103,10,7,enp7s0np0,10,5100,7,0.1G,1
exp104,10,9,enp7s0np0,10,5100,9,0.1G,1
exp105,10,11,enp7s0np0,10,5100,11,0.1G,1
exp106,10,13,enp7s0np0,10,5100,13,0.1G,1
exp107,10,15,enp7s0np0,10,5100,15,0.1G,1
exp108,10,17,enp7s0np0,10,5100,17,0.1G,1
exp109,10,19,enp7s0np0,10,5100,19,0.1G,1
exp110,10,21,enp7s0np0,10,5100,21,0.1G,1
exp111,10,23,enp7s0np0,10,5100,23,0.1G,1
exp112,10,25,enp7s0np0,10,5100,25,0.1G,1
exp113,10,27,enp7s0np0,10,5100,27,0.1G,1
exp114,10,29,enp7s0np0,10,5100,29,0.1G,1
exp115,10,31,enp7s0np0,10,5100,31,0.1G,1
exp116,10,33,enp7s0np0,10,5100,33,0.1G,1
exp117,10,35,enp7s0np0,10,5100,35,0.1G,1
exp118,10,37,enp7s0np0,10,5100,37,0.1G,1
exp119,10,39,enp7s0np0,10,5100,39,0.1G,1
