exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp600,10,1,enp7s0np0,10,5100,1,0.5G,8
exp601,10,2,enp7s0np0,10,5100,2,0.5G,8
exp602,10,3,enp7s0np0,10,5100,3,0.5G,8
exp603,10,4,enp7s0np0,10,5100,4,0.5G,8
exp604,10,5,enp7s0np0,10,5100,5,0.5G,8
exp605,10,6,enp7s0np0,10,5100,6,0.5G,8
exp606,10,7,enp7s0np0,10,5100,7,0.5G,8
exp607,10,8,enp7s0np0,10,5100,8,0.5G,8
exp608,10,1,enp7s0np0,10,5100,1,0.5G,8
exp609,10,2,enp7s0np0,10,5100,2,0.5G,8
exp610,10,3,enp7s0np0,10,5100,3,0.5G,8
exp611,10,4,enp7s0np0,10,5100,4,0.5G,8
exp612,10,5,enp7s0np0,10,5100,5,0.5G,8
exp613,10,6,enp7s0np0,10,5100,6,0.5G,8
exp614,10,7,enp7s0np0,10,5100,7,0.5G,8
exp615,10,8,enp7s0np0,10,5100,8,0.5G,8
exp616,10,1,enp7s0np0,10,5100,1,0.5G,8
exp617,10,2,enp7s0np0,10,5100,2,0.5G,8
exp618,10,3,enp7s0np0,10,5100,3,0.5G,8
exp619,10,4,enp7s0np0,10,5100,4,0.5G,8
exp620,10,5,enp7s0np0,10,5100,5,0.5G,8
exp621,10,6,enp7s0np0,10,5100,6,0.5G,8
exp622,10,7,enp7s0np0,10,5100,7,0.5G,8
exp623,10,8,enp7s0np0,10,5100,8,0.5G,8
