exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp2000,10,1,enp7s0np0,10,5100,1,3.2G,1
exp2001,10,1,enp7s0np0,10,5100,1,3.2G,2
exp2002,10,1,enp7s0np0,10,5100,1,3.2G,4
exp2003,10,1,enp7s0np0,10,5100,1,3.2G,8
exp2004,10,1,enp7s0np0,10,5100,1,3.2G,12
exp2005,10,1,enp7s0np0,10,5100,1,3.2G,16
exp2006,10,1,enp7s0np0,10,5100,1,3.2G,20
exp2007,10,1,enp7s0np0,10,5100,1,3.2G,1
exp2008,10,1,enp7s0np0,10,5100,1,3.2G,2
exp2009,10,1,enp7s0np0,10,5100,1,3.2G,4
exp2010,10,1,enp7s0np0,10,5100,1,3.2G,8
exp2011,10,1,enp7s0np0,10,5100,1,3.2G,12
exp2012,10,1,enp7s0np0,10,5100,1,3.2G,16
exp2013,10,1,enp7s0np0,10,5100,1,3.2G,20
exp2014,10,1,enp7s0np0,10,5100,1,3.2G,1
exp2015,10,1,enp7s0np0,10,5100,1,3.2G,2
exp2016,10,1,enp7s0np0,10,5100,1,3.2G,4
exp2017,10,1,enp7s0np0,10,5100,1,3.2G,8
exp2018,10,1,enp7s0np0,10,5100,1,3.2G,12
exp2019,10,1,enp7s0np0,10,5100,1,3.2G,16
exp2020,10,1,enp7s0np0,10,5100,1,3.2G,20
