exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp300,10,1,enp7s0np0,10,5100,1,0.1G,16
exp301,10,3,enp7s0np0,10,5100,3,0.1G,16
exp302,10,5,enp7s0np0,10,5100,5,0.1G,16
exp303,10,7,enp7s0np0,10,5100,7,0.1G,16
exp304,10,9,enp7s0np0,10,5100,9,0.1G,16
exp305,10,11,enp7s0np0,10,5100,11,0.1G,16
exp306,10,13,enp7s0np0,10,5100,13,0.1G,16
exp307,10,15,enp7s0np0,10,5100,15,0.1G,16
exp308,10,17,enp7s0np0,10,5100,17,0.1G,16
exp309,10,19,enp7s0np0,10,5100,19,0.1G,16
exp310,10,21,enp7s0np0,10,5100,21,0.1G,16
exp311,10,23,enp7s0np0,10,5100,23,0.1G,16
exp312,10,25,enp7s0np0,10,5100,25,0.1G,16
exp313,10,27,enp7s0np0,10,5100,27,0.1G,16
exp314,10,29,enp7s0np0,10,5100,29,0.1G,16
exp315,10,31,enp7s0np0,10,5100,31,0.1G,16
exp316,10,33,enp7s0np0,10,5100,33,0.1G,16
exp317,10,35,enp7s0np0,10,5100,35,0.1G,16
exp318,10,37,enp7s0np0,10,5100,37,0.1G,16
exp319,10,39,enp7s0np0,10,5100,39,0.1G,16
