exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp400,10,1,enp7s0np0,10,5100,1,0.1G,8
exp401,10,3,enp7s0np0,10,5100,3,0.1G,8
exp402,10,5,enp7s0np0,10,5100,5,0.1G,8
exp403,10,7,enp7s0np0,10,5100,7,0.1G,8
exp404,10,9,enp7s0np0,10,5100,9,0.1G,8
exp405,10,11,enp7s0np0,10,5100,11,0.1G,8
exp406,10,13,enp7s0np0,10,5100,13,0.1G,8
exp407,10,15,enp7s0np0,10,5100,15,0.1G,8
exp408,10,17,enp7s0np0,10,5100,17,0.1G,8
exp409,10,19,enp7s0np0,10,5100,19,0.1G,8
exp410,10,21,enp7s0np0,10,5100,21,0.1G,8
exp411,10,23,enp7s0np0,10,5100,23,0.1G,8
exp412,10,25,enp7s0np0,10,5100,25,0.1G,8
exp413,10,27,enp7s0np0,10,5100,27,0.1G,8
exp414,10,29,enp7s0np0,10,5100,29,0.1G,8
exp415,10,31,enp7s0np0,10,5100,31,0.1G,8
exp416,10,33,enp7s0np0,10,5100,33,0.1G,8
exp417,10,35,enp7s0np0,10,5100,35,0.1G,8
exp418,10,37,enp7s0np0,10,5100,37,0.1G,8
exp419,10,39,enp7s0np0,10,5100,39,0.1G,8
