exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp500,10,1,enp7s0np0,10,5100,1,0.5G,1
exp501,10,2,enp7s0np0,10,5100,2,0.5G,1
exp502,10,3,enp7s0np0,10,5100,3,0.5G,1
exp503,10,4,enp7s0np0,10,5100,4,0.5G,1
exp504,10,5,enp7s0np0,10,5100,5,0.5G,1
exp505,10,6,enp7s0np0,10,5100,6,0.5G,1
exp506,10,7,enp7s0np0,10,5100,7,0.5G,1
exp507,10,8,enp7s0np0,10,5100,8,0.5G,1
exp508,10,1,enp7s0np0,10,5100,1,0.5G,1
exp509,10,2,enp7s0np0,10,5100,2,0.5G,1
exp510,10,3,enp7s0np0,10,5100,3,0.5G,1
exp511,10,4,enp7s0np0,10,5100,4,0.5G,1
exp512,10,5,enp7s0np0,10,5100,5,0.5G,1
exp513,10,6,enp7s0np0,10,5100,6,0.5G,1
exp514,10,7,enp7s0np0,10,5100,7,0.5G,1
exp515,10,8,enp7s0np0,10,5100,8,0.5G,1
exp516,10,1,enp7s0np0,10,5100,1,0.5G,1
exp517,10,2,enp7s0np0,10,5100,2,0.5G,1
exp518,10,3,enp7s0np0,10,5100,3,0.5G,1
exp519,10,4,enp7s0np0,10,5100,4,0.5G,1
exp520,10,5,enp7s0np0,10,5100,5,0.5G,1
exp521,10,6,enp7s0np0,10,5100,6,0.5G,1
exp522,10,7,enp7s0np0,10,5100,7,0.5G,1
exp523,10,8,enp7s0np0,10,5100,8,0.5G,1
