exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp1000,10,1,enp7s0np0,10,5100,1,0.1G,1
exp1001,10,1,enp7s0np0,10,5100,1,0.5G,1
exp1002,10,1,enp7s0np0,10,5100,1,1G,1
exp1003,10,1,enp7s0np0,10,5100,1,2G,1
exp1004,10,1,enp7s0np0,10,5100,1,3G,1
exp1005,10,1,enp7s0np0,10,5100,1,4G,1
exp1006,10,1,enp7s0np0,10,5100,1,0.1G,1
exp1007,10,1,enp7s0np0,10,5100,1,0.5G,1
exp1008,10,1,enp7s0np0,10,5100,1,1G,1
exp1009,10,1,enp7s0np0,10,5100,1,2G,1
exp1010,10,1,enp7s0np0,10,5100,1,3G,1
exp1011,10,1,enp7s0np0,10,5100,1,4G,1
exp1012,10,1,enp7s0np0,10,5100,1,0.1G,1
exp1013,10,1,enp7s0np0,10,5100,1,0.5G,1
exp1014,10,1,enp7s0np0,10,5100,1,1G,1
exp1015,10,1,enp7s0np0,10,5100,1,2G,1
exp1016,10,1,enp7s0np0,10,5100,1,3G,1
exp1017,10,1,enp7s0np0,10,5100,1,4G,1






