exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp2300,10,1,enp7s0np0,10,5100,1,2.4G,1
exp2301,10,1,enp7s0np0,10,5100,1,2.4G,2
exp2302,10,1,enp7s0np0,10,5100,1,2.4G,4
exp2303,10,1,enp7s0np0,10,5100,1,2.4G,8
exp2304,10,1,enp7s0np0,10,5100,1,2.4G,12
exp2305,10,1,enp7s0np0,10,5100,1,2.4G,16
exp2306,10,1,enp7s0np0,10,5100,1,2.4G,20
exp2307,10,1,enp7s0np0,10,5100,1,2.4G,1
exp2308,10,1,enp7s0np0,10,5100,1,2.4G,2
exp2309,10,1,enp7s0np0,10,5100,1,2.4G,4
exp2310,10,1,enp7s0np0,10,5100,1,2.4G,8
exp2311,10,1,enp7s0np0,10,5100,1,2.4G,12
exp2312,10,1,enp7s0np0,10,5100,1,2.4G,16
exp2313,10,1,enp7s0np0,10,5100,1,2.4G,20
exp2314,10,1,enp7s0np0,10,5100,1,2.4G,1
exp2315,10,1,enp7s0np0,10,5100,1,2.4G,2
exp2316,10,1,enp7s0np0,10,5100,1,2.4G,4
exp2317,10,1,enp7s0np0,10,5100,1,2.4G,8
exp2318,10,1,enp7s0np0,10,5100,1,2.4G,12
exp2319,10,1,enp7s0np0,10,5100,1,2.4G,16
exp2320,10,1,enp7s0np0,10,5100,1,2.4G,20
