exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp2800,10,8,enp7s0np0,10,5100,8,0.2G,1
exp2801,10,8,enp7s0np0,10,5100,8,0.2G,2
exp2802,10,8,enp7s0np0,10,5100,8,0.2G,4
exp2803,10,8,enp7s0np0,10,5100,8,0.2G,8
exp2804,10,8,enp7s0np0,10,5100,8,0.2G,12
exp2805,10,8,enp7s0np0,10,5100,8,0.2G,16
exp2806,10,8,enp7s0np0,10,5100,8,0.2G,20
exp2807,10,8,enp7s0np0,10,5100,8,0.2G,1
exp2808,10,8,enp7s0np0,10,5100,8,0.2G,2
exp2809,10,8,enp7s0np0,10,5100,8,0.2G,4
exp2810,10,8,enp7s0np0,10,5100,8,0.2G,8
exp2811,10,8,enp7s0np0,10,5100,8,0.2G,12
exp2812,10,8,enp7s0np0,10,5100,8,0.2G,16
exp2813,10,8,enp7s0np0,10,5100,8,0.2G,20
exp2814,10,8,enp7s0np0,10,5100,8,0.2G,1
exp2815,10,8,enp7s0np0,10,5100,8,0.2G,2
exp2816,10,8,enp7s0np0,10,5100,8,0.2G,4
exp2817,10,8,enp7s0np0,10,5100,8,0.2G,8
exp2818,10,8,enp7s0np0,10,5100,8,0.2G,12
exp2819,10,8,enp7s0np0,10,5100,8,0.2G,16
exp2820,10,8,enp7s0np0,10,5100,8,0.2G,20
