exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp1300,10,1,enp7s0np0,10,5100,1,0.1G,8
exp1301,10,1,enp7s0np0,10,5100,1,0.5G,8
exp1302,10,1,enp7s0np0,10,5100,1,1G,8
exp1303,10,1,enp7s0np0,10,5100,1,2G,8
exp1304,10,1,enp7s0np0,10,5100,1,3G,8
exp1305,10,1,enp7s0np0,10,5100,1,4G,8
exp1306,10,1,enp7s0np0,10,5100,1,0.1G,8
exp1307,10,1,enp7s0np0,10,5100,1,0.5G,8
exp1308,10,1,enp7s0np0,10,5100,1,1G,8
exp1309,10,1,enp7s0np0,10,5100,1,2G,8
exp1310,10,1,enp7s0np0,10,5100,1,3G,8
exp1311,10,1,enp7s0np0,10,5100,1,4G,8
exp1312,10,1,enp7s0np0,10,5100,1,0.1G,8
exp1313,10,1,enp7s0np0,10,5100,1,0.5G,8
exp1314,10,1,enp7s0np0,10,5100,1,1G,8
exp1315,10,1,enp7s0np0,10,5100,1,2G,8
exp1316,10,1,enp7s0np0,10,5100,1,3G,8
exp1317,10,1,enp7s0np0,10,5100,1,4G,8






