exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp2100,10,4,enp7s0np0,10,5100,4,0.8G,1
exp2101,10,4,enp7s0np0,10,5100,4,0.8G,2
exp2102,10,4,enp7s0np0,10,5100,4,0.8G,4
exp2103,10,4,enp7s0np0,10,5100,4,0.8G,8
exp2104,10,4,enp7s0np0,10,5100,4,0.8G,12
exp2105,10,4,enp7s0np0,10,5100,4,0.8G,16
exp2106,10,4,enp7s0np0,10,5100,4,0.8G,20
exp2107,10,4,enp7s0np0,10,5100,4,0.8G,1
exp2108,10,4,enp7s0np0,10,5100,4,0.8G,2
exp2109,10,4,enp7s0np0,10,5100,4,0.8G,4
exp2110,10,4,enp7s0np0,10,5100,4,0.8G,8
exp2111,10,4,enp7s0np0,10,5100,4,0.8G,12
exp2112,10,4,enp7s0np0,10,5100,4,0.8G,16
exp2113,10,4,enp7s0np0,10,5100,4,0.8G,20
exp2114,10,4,enp7s0np0,10,5100,4,0.8G,1
exp2115,10,4,enp7s0np0,10,5100,4,0.8G,2
exp2116,10,4,enp7s0np0,10,5100,4,0.8G,4
exp2117,10,4,enp7s0np0,10,5100,4,0.8G,8
exp2118,10,4,enp7s0np0,10,5100,4,0.8G,12
exp2119,10,4,enp7s0np0,10,5100,4,0.8G,16
exp2120,10,4,enp7s0np0,10,5100,4,0.8G,20
