exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp1100,10,8,enp7s0np0,10,5100,8,0.05G,1
exp1101,10,8,enp7s0np0,10,5100,8,0.15G,1
exp1102,10,8,enp7s0np0,10,5100,8,0.2G,1
exp1103,10,8,enp7s0np0,10,5100,8,0.25G,1
exp1104,10,8,enp7s0np0,10,5100,8,0.3G,1
exp1105,10,8,enp7s0np0,10,5100,8,0.35G,1
exp1106,10,8,enp7s0np0,10,5100,8,0.4G,1
exp1107,10,8,enp7s0np0,10,5100,8,0.45G,1
exp1108,10,8,enp7s0np0,10,5100,8,0.05G,1
exp1109,10,8,enp7s0np0,10,5100,8,0.15G,1
exp1110,10,8,enp7s0np0,10,5100,8,0.2G,1
exp1111,10,8,enp7s0np0,10,5100,8,0.25G,1
exp1112,10,8,enp7s0np0,10,5100,8,0.3G,1
exp1113,10,8,enp7s0np0,10,5100,8,0.35G,1
exp1114,10,8,enp7s0np0,10,5100,8,0.4G,1
exp1115,10,8,enp7s0np0,10,5100,8,0.45G,1
exp1116,10,8,enp7s0np0,10,5100,8,0.05G,1
exp1117,10,8,enp7s0np0,10,5100,8,0.15G,1
exp1118,10,8,enp7s0np0,10,5100,8,0.2G,1
exp1119,10,8,enp7s0np0,10,5100,8,0.25G,1
exp1120,10,8,enp7s0np0,10,5100,8,0.3G,1
exp1121,10,8,enp7s0np0,10,5100,8,0.35G,1
exp1122,10,8,enp7s0np0,10,5100,8,0.4G,1
exp1123,10,8,enp7s0np0,10,5100,8,0.45G,1
