exp_id,duration,concurrency,interface,delay,port,client_rate,transfer_size,parallel
exp2700,10,4,enp7s0np0,10,5100,4,0.4G,1
exp2701,10,4,enp7s0np0,10,5100,4,0.4G,2
exp2702,10,4,enp7s0np0,10,5100,4,0.4G,4
exp2703,10,4,enp7s0np0,10,5100,4,0.4G,8
exp2704,10,4,enp7s0np0,10,5100,4,0.4G,12
exp2705,10,4,enp7s0np0,10,5100,4,0.4G,16
exp2706,10,4,enp7s0np0,10,5100,4,0.4G,20
exp2707,10,4,enp7s0np0,10,5100,4,0.4G,1
exp2708,10,4,enp7s0np0,10,5100,4,0.4G,2
exp2709,10,4,enp7s0np0,10,5100,4,0.4G,4
exp2710,10,4,enp7s0np0,10,5100,4,0.4G,8
exp2711,10,4,enp7s0np0,10,5100,4,0.4G,12
exp2712,10,4,enp7s0np0,10,5100,4,0.4G,16
exp2713,10,4,enp7s0np0,10,5100,4,0.4G,20
exp2714,10,4,enp7s0np0,10,5100,4,0.4G,1
exp2715,10,4,enp7s0np0,10,5100,4,0.4G,2
exp2716,10,4,enp7s0np0,10,5100,4,0.4G,4
exp2717,10,4,enp7s0np0,10,5100,4,0.4G,8
exp2718,10,4,enp7s0np0,10,5100,4,0.4G,12
exp2719,10,4,enp7s0np0,10,5100,4,0.4G,16
exp2720,10,4,enp7s0np0,10,5100,4,0.4G,20
